playerId,lastName,firstName,position,shootsCatches,height,weight,birthDate,draftRound,draftOverall,draftingTeam,amateurTeam
8482466,Jamsen,Aatu,RW,L,73,154,2002-07-22,7,190,Los Angeles Kings,Pelicans Jr. (Finland-Jr.)
8482482,Wilsby,Adam,D,L,72,183,2000-08-07,4,101,Nashville Predators,Sodertalje (Sweden-2)
8482197,Raska,Adam,RW,R,70,178,2001-09-25,7,201,San Jose Sharks,Rimouski Oceanic (QMJHL)
8482503,Lyckasen,Albert,D,R,71,187,2001-07-29,7,193,Buffalo Sabres,Linkoping Jr. (Sweden-Jr.)
8482494,Sundsvik,Albin,C,L,74,187,2001-04-27,6,160,Anaheim Ducks,Skelleftea (Sweden)
8482523,Young,Alex,C,R,71,170,2001-03-22,7,196,San Jose Sharks,Canmore (AJHL)
8482182,Cotton,Alex,D,R,74,190,2001-05-12,5,132,Detroit Red Wings,Lethbridge Hurricanes (WHL)
8482154,Jefferies,Alex,LW,R,72,195,2001-11-08,4,121,New York Islanders,The Gunnery (HIGH-CT)
8482155,Laferriere,Alex,RW,R,72,173,2001-10-28,3,83,Los Angeles Kings,Des Moines (USHL)
8482212,Pashin,Alexander,RW,L,68,154,2002-07-28,7,199,Carolina Hurricanes,Ufa 2 (Russia-Jr.)
8482100,Nikishin,Alexander,D,L,75,196,2001-10-02,3,69,Carolina Hurricanes,Spartak (Russia)
8482125,Holtz,Alexander,RW,R,72,195,2002-01-23,1,7,New Jersey Devils,Djurgarden (Sweden)
8482497,Gordin,Alexander,RW,L,73,194,2001-07-31,6,171,Montreal Canadiens,SKA St. Petersburg 2 (Russia-Jr.)
8482480,Ljungkrantz,Alexander,RW,L,73,179,2002-02-27,3,90,New York Islanders,Brynas Jr. (Sweden-Jr.)
8482109,Lafrenière,Alexis,LW,L,74,196,2001-10-11,1,1,New York Rangers,Rimouski Oceanic (QMJHL)
8482501,Miftakhov,Amir,G,L,72,172,2000-04-26,6,186,Tampa Bay Lightning,Bars Kazan (RUSSIA-2)
8482486,Johannesson,Anton,D,L,69,144,2002-03-26,5,133,Winnipeg Jets,HV 71 JR. (Sweden-Jr.)
8482113,Lundell,Anton,C,L,73,185,2001-10-03,1,12,Florida Panthers,HIFK (Finland)
8482120,Stranges,Antonio,LW,L,70,180,2002-02-05,4,123,Dallas Stars,London Knights (OHL)
8482214,Shlaine,Artem,C,L,73,165,2002-03-07,5,130,New Jersey Devils,Shattuck-St. Mary's (High-MN)
8482515,Akhtyamov,Artur,G,L,73,167,2001-10-31,4,106,Toronto Maple Leafs,Irbis Kazan (Russia-Jr.)
8482485,Galimov,Artyom,LW,L,72,176,1999-09-08,5,129,Anaheim Ducks,Kazan (Russia)
